LON,LAT,EDO,CLAVE,ESTACION,feb-22
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",14.4
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora, B.C. SMN*",37.0
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",66.9
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",29.5
-114.828611,30.993056,BC,SANFELIPEmar,"San Felipe, B.C. SEMAR*",0.0
-114.834444,31.028056,BC,SFELIPEob,"Observatorio de San Felipe, B.C. SMN*",0.0
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0.0
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",3.6
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",33.5
-111.353889,26.009722,BCS,BLORETO,"BahÌa de Loreto, B.C.S. SMN*",0.2
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad ConstituciÛn, B.C.S.",0.0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.0
-113.457222,27.6425,BCS,DIAZORDAZBN,"Gustavo DÌçaz Ordaz, B.C.S. SMN*",0.6
-113.457778,27.643611,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0.0
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0.0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0.0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0.2
-111.983056,26.896111,BCS,MLGBS,"MulegÈ, B.C.S.",0.0
-111.829444,24.481111,BCS,PCORTESmar,"Puerto CortÈs, B.C.S. SEMAR*",0.0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0.0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.0
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",0.0
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0.0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0.0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0.0
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",0.0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",2.0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0.0
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa RosalÌa, B.C.S.",0.0
-112.25,27.283333,BCS,STAROSALIAob,"Observatorio de Santa RosalÌa, B.C.S. SMN*",0.0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0.0
-89.743889,20.003889,CAMP,BOLCA,"BolonchÈn, Camp.",37.5
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",43.7
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",87.1
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",79.8
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",31.0
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",7.0
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",12.0
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",5.3
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",67.3
-90.105556,20.184167,CAMP,HECCA,"Hecelchak·n, Camp.",115.0
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",11.8
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",12.6
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",33.7
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",165.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",34.0
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",46.9
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",43.0
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",0.0
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",3.0
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",7.2
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",16.8
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",0.5
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",7.0
-108.092778,29.251944,CHIH,C08219,"PeÒitas, Chih.",8.0
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",3.0
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",0.0
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",2.6
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÈmoc, Chih. SMN*",0.0
-106.427222,31.689722,CHIH,CDJUAREZob,"Observatorio de Ciudad Ju·rez, Chih. SMN*",7.8
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0.0
-108.535556,27.392222,CHIH,CHICH,"ChÌnipas, Chih. SMN*",2.5
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",0.0
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",17.4
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",0.0
-106.445278,31.756944,CHIH,CILANORTE,"CILA Norte, Chih. SGT*",4.0
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",0.0
-105.381667,27.410278,CHIH,CL2CH,"Colina hidromÈtrica, Chih.",0.0
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",0.0
-108.541667,27.416667,CHIH,CNDCH,"ChÌnipas, Chih.",7.8
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",0.0
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",15.9
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",9.0
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",0.0
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",0.0
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",21.4
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",7.7
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",5.0
-107.879167,26.870833,CHIH,INGCH,"San Ignacio, Chih.",0.0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",4.8
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0.0
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",3.0
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. LeÛn, Chih.",0.0
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",14.2
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",0.2
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0.0
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",0.0
-104.74,29.5,CHIH,PEGUIS,"Peguis, Chih. SGT*",0.0
-105.620556,28.165278,CHIH,PFCOIMADERO,"Presa Francisco I. Madero, Chih. SGT*",0.0
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",0.0
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",2.2
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",0.0
-107.973333,26.9425,CHIH,TBRSI,"San Francisco, Chih.",15.8
-107.85,28.95,CHIH,TMCCH,"Observatorio de TemÛsachic, Chih.",6.5
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",1.0
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",20.3
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",0.0
-105.773333,27.99,CHIH,VILLALBA,"Villalba, Chih. SGT*",0.0
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",0.0
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",0.0
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",0.1
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",1.0
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",0.0
-92.874722,17.188889,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",131.5
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza-Pac CFE, Chis.",708.0
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",17.4
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",1.6
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",1.1
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",3.2
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",2.2
-91.949722,17.85,CHIS,CATAZAJA,"Catazaj·, Chis. SGT*",0.0
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",301.0
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",8.0
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",2.1
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",4.6
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comit·n, Chis. SMN*",15.4
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",8.8
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. SMN*",0.0
-93.076389,16.166944,CHIS,CREDREVOLUCIONM,"Cred RevoluciÛn Mexicana, Chis. SMN*",0.0
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",9.9
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",16.1
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",0.2
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",14.8
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",10.0
-92.8975,15.994444,CHIS,ELPORTILLO,"El Portillo, Chis. SGT*",4.0
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",79.2
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn, Chis. SGT*",421.3
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",4.1
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla, Chis. SMN*",0.0
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",517.9
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",6.0
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",2.6
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",4.4
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",4.7
-92.184722,14.626111,CHIS,ILRAYON,"Ignacio LÛpez RayÛn, Chis. SGT*",0.0
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",3.6
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",7.1
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",1032.3
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",0.0
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",2.7
-93.563333,16.6925,CHIS,LASFLORESII,"Las Flores Dos, Chis. SGT*",11.9
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",182.5
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",182.4
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",8.5
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",0.0
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",7.8
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",0.4
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",534.9
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",68.2
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",25.1
-91.967778,15.849444,CHIS,PCONCORDIACFE,"Puente Concordia, Chis. CFE*",25.0
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",528.8
-93.474444,17.463611,CHIS,PENITAS,"PeÒitas, Chis. SGT*",686.1
-93.457778,17.445,CHIS,PENITASCFE,"PeÒitas, Chis. CFE*",528.8
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",19.2
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",2.3
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",0.4
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",334.7
-92.239167,15.776667,CHIS,SANMIGUELCFE,"San Miguel, Chis. CFE*",8.9
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa LucÌa, Chis. SGT*",7.6
-93.231111,16.373611,CHIS,SANTUARIOCFE,"Santuario, Chis. CFE*",28.1
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",958.2
-92.603056,16.727222,CHIS,SCCASASCFE,"San CristÛbal de las Casas, Chis. CFE*",3.5
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",8.2
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",8.1
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",0.0
-92.308333,17.028611,CHIS,SITALA,"Sitala, Chis. SGT*",143.7
-93.085,17.561111,CHIS,SJOCP,"San JoaquÌn, Chis.",433.9
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",9.0
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",103.5
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",195.6
-92.148889,14.698611,CHIS,SUCHIATE,"Suchiate, Chis. SGT*",1.4
-93.034167,16.742778,CHIS,SUMIDEROCFE,"CaÒÛn del Sumidero, Chis. CFE*",1.3
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",4.7
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",0.0
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",12.4
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",0.1
-93.147222,16.762778,CHIS,TUXTLAGTZob,"Observatorio de Tuxtla GutiÈrrez, Chis. SMN*",0.0
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",0.6
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",693.7
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",64.4
-93.248056,16.253889,CHIS,VILLAFLORES,"Villaflores, Chis. SGT*",8.3
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",166.0
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",2.0
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",4.5
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",0.7
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",2.0
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",0.0
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",4.0
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",0.0
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",3.0
-102.037778,26.990278,COAH,CUATROCIENEGAS,"Cuatro CiÈnegas, Coah. SMN*",2.8
-103.338333,25.695833,COAH,CUICL,"El Cuije, Coah.",0.0
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",0.0
-100.920833,25.436111,COAH,ESLCL,"SecretarÌa de Agricultura Saltillo, Coah.",8.5
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",0.0
-100.833333,28.823056,COAH,LAFRAGUA,"La Fragua, Coah. SGT*",3.5
-100.954444,29.329167,COAH,LASVACASC,"Las Vacas. Ciudad AcuÒa, Coah. CILA*",5.5
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",0.0
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",0.0
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",0.0
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",10.0
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",2.0
-100.556944,28.667778,COAH,RIOESCONDIDOC,"RÌo Escondido Villa De Fuentes, Coah. CILA*",7.8
-100.634444,28.898611,COAH,RioSanRodrigoC,"RÌo San Rodrigo cerca El Moral, Piedras Negras Coah., CILA*",11.3
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",12.0
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",9.0
-101.016667,25.376389,COAH,SALTILLOob,"Observatorio de Saltillo, Coah. SMN*",7.6
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jimenez, Coah. CILA*",5.3
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",1.5
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",0.0
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",2.3
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",0.0
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",9.0
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",0.2
-100.95,27.519444,COAH,VCARRANZA,"Venustiano Carranza, Coah. SMN*",0.2
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",0.0
-102.808056,25.328333,COAH,VSCCL,"Viesca, Coah.",0.0
-103.613056,19.2475,COL,BVSCM,"Buenavista, Col.",0.0
-103.725556,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",0.0
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",0.0
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",0.0
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",0.0
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",0.0
-103.884444,19.111389,COL,DJLCM,"Presa derivadora Jala, Col.",0.3
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",0.0
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",1.0
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",0.0
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",0.1
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",2.5
-104.316667,19.046389,COL,MANZANILLOob,"Observatorio de Manzanillo, Col. SMN*",0.8
-104.318611,19.044444,COL,MNZCM,"Observatorio de Manzanillo, Col.",1.1
-103.8125,19.3275,COL,PNTCM,"PeÒitas, Col.",0.0
-104.100556,18.938611,COL,RDRCM,"Radar, Col.",2.5
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",0.0
-103.867778,18.911667,COL,TCMCM,"Tecom·n, Col.",1.0
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",0.0
-99.329444,19.3225,DF,ACOPILCO,"Acopilco, Cd. de MÈx. UNAM*",6.3
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",4.6
-99.188889,19.214722,DF,AJUSCO,"Ajusco, Cd. de MÈx. UNAM*",4.8
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",2.0
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de MÈx.",0.8
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",1.5
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",2.0
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",0.0
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de MÈx.",0.0
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de MÈx.",4.6
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de MÈx.",2.3
-99.134722,19.287778,DF,COAPA,"Coapa, Cd. de MÈx. UNAM*",2.0
-99.19,19.3375,DF,CONAGUAOFC,"Conagua Oficinas Centrales, Cd. de MÈx SGT*",0.8
-99.247222,19.306389,DF,CONTRERAS,"Contreras, Cd. de MÈx. UNAM*",3.7
-99.196111,19.406389,DF,CTMDF,"Observatorio de Tacubaya, Cd. de MÈx.",3.8
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de MÈx.",3.0
-99.097222,19.193611,DF,CUAUHTENCO,"Cuauhtenco, Cd. de MÈx. UNAM*",3.0
-99.140833,19.549444,DF,CUAUTEPEC,"Cuautepec, Cd. de MÈx. UNAM*",3.0
-99.104722,19.282778,DF,CUEMANCO,"Cuemanco, Cd. de MÈx. UNAM*",4.2
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de MÈx.",1.5
-99.205,19.3,DF,DATDF,"DesviaciÛn Alta, Cd. de MÈx.",0.0
-99.310556,19.313056,DF,DDELOSLEONES,"Desierto de los Leones, Cd. de MÈx. SACMEX*",0.0
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de MÈxico, Cd. de MÈx.",0.0
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de MÈx.",0.0
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de MÈx.",0.0
-99.203889,19.271389,DF,ECOGUARDAS,"Ecoguardas Ajusco, Cd. de MÈx. SMN*",2.8
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de MÈx.",4.3
-99.352222,19.295,DF,EZCDF,"El Zarco, MÈx.",1.8
-99.091667,19.478056,DF,GCNDF,"km 6+250, Cd. de MÈx.",0.1
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de MÈx.",0.0
-99.181944,19.329722,DF,IIUNAM,"Instituto de IngenierÌa, Cd. de MÈx. UNAM*",2.2
-99.119444,19.496389,DF,INDIOSVER,"Indios Verdes, Cd. de MÈx. UNAM*",2.8
-99.07,19.349722,DF,IZTAPALAPA,"Iztapalapa, Cd. de MÈx. UNAM*",5.6
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro RÌos (El Moral), Cd. de MÈx.",1.8
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de MÈx.",8.6
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, Cd. de MÈx.",0.3
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de MÈx.",2.5
-99.1175,19.356389,DF,MEXICALTZI,"Mexicaltzingo, Cd. de MÈx. UNAM*",5.3
-99.043889,19.3375,DF,MEYEHUALCO,"Meyehualco, Cd. de MÈx. UNAM*",1.3
-99.0175,19.196667,DF,MILPAALTA,"Milpa Alta, Cd. de MÈx. UNAM*",3.3
-99.026944,19.187222,DF,MLPDF,"Milpa Alta, Cd. de MÈx.",2.3
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo (Mezontepec), Cd. de MÈx.",0.0
-99.045,19.3025,DF,NOPALERA,"Nopalera, Cd. de MÈx. UNAM*",3.3
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de MÈcico Sur, Cd. de MÈx.",0.0
