LON,LAT,EDO,CLAVE,ESTACION,dic-22
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",4.59
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",1.41
-111.983056,26.896111,BCS,MLGBS,"MulegÈ, B.C.S.",5.01
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa RosalÌa, B.C.S.",1.51
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"BolonchÈn, Camp.",56.11
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",39.52
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",189.7
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",99.79
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",58.5
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",33
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",61.42
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",36.5
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",90.4
-90.105556,20.184167,CAMP,HECCA,"Hecelchak·n, Camp.",155
-89.848333,19.751944,CAMP,HPOCA,"HopelchÈn, Camp.",34.5
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",66.2
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",39.5
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",191.1
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",67
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",23.01
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",50
-90.310833,19.013611,CAMP,YOHALTUM,"Yohalt˙n, Camp. SMN*",38
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",8.5
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",6
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",6.3
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",3.51
-108.092778,29.251944,CHIH,C08219,"PeÒitas, Chih.",21.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",24.5
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",4.42
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",1.23
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÈmoc, Chih. SMN*",8
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0.02
-108.535556,27.392222,CHIH,CHICH,"ChÌnipas, Chih. SMN*",20.31
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",0.5
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",2.5
-105.381667,27.410278,CHIH,CL2CH,"Colina hidromÈtrica, Chih.",0
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",0
-108.541667,27.416667,CHIH,CNDCH,"ChÌnipas, Chih.",29.7
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",2.5
-105.628889,28.166111,CHIH,FIMCH,"Las VÌrgenes, Chih.",0
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",0.2
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",31.3
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",7.5
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",6.4
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",1.01
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",2
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",2.2
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",5.02
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",0.01
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",0.32
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",3.2
-107.85,28.95,CHIH,TMCCH,"Observatorio de TemÛsachic, Chih.",18.72
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",22.7
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",0.01
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",0.02
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",0.1
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",51.4
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",0
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",0.4
-92.874722,17.188889,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",70.2
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza-Pac, Chis. CFE*",391.2
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",12.4
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",3.8
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",1.2
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",5
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",1.3
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",0.6
-93.117222,16.757778,CHIS,CENTRO2APTE,"Centro Segunda Poniente, Chis. SGT*",0.1
-92.618611,16.963333,CHIS,CHALCHIHUITAN,"Chalchihuit·n, Chis. SGT*",79.6
-93.131389,17.341389,CHIS,CHAPULTENANGO,"Chapultenango SGT, Chis.",508.1
-92.715556,16.578056,CHIS,CHIAPILLA,"Villa de Chiapilla, Chis. SGT*",104.5
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",19.8
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",3.5
-93.466944,16.441389,CHIS,COBREGONCFE,"CristÛbal ObregÛn, Chis. CFE*",1.5
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",22.8
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. SMN*",0
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",18.4
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidromÈtrica, Chis. SGT*",1.9
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",5.4
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",8.4
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",4.8
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. SGT*",1.4
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",24.6
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn, Chis. SGT*",337.2
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla, Chis. SMN*",30.5
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",259.9
-92.299167,15.126667,CHIS,FARCP,"Finca Argovia, Chis.",63.7
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",42.6
-91.918,17.441,CHIS,FIMADERO,"Francisco I. Madero, Chis. SGT*",634.3
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",0.7
-92.454167,16.712778,CHIS,HUIXTAN,"Huixt·n, Chis. SGT*",18.2
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. SGT*",24.1
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",2
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",523.9
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",6.3
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",1.1
-93.563333,16.6925,CHIS,LASFLORESII,"Las Flores Dos, Chis. SGT*",4.4
-93.28,17.96,CHIS,MACAYOMI,"Macayo Margen Izquierda, Chis. SGT*",286.3
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",67.9
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",46.71
-93.105833,16.741944,CHIS,MODULO5,"MÛdulo Cinco, Chis. SGT*",0
-92.673889,17.185556,CHIS,MOJOSTIC,"Mojostic, Chis. SGT*",58.3
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",4.7
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",0
-93.091389,16.7225,CHIS,MUCH,"Museo de Chiapas de Ciencia y TecnologÌa, Chis. SGT*",0.3
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",0.2
-93.369167,17.455,CHIS,NVOXOCHIMILCO,"Nuevo Xochimilco, Chis. SGT*",291.1
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",208.9
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",7.2
-91.967778,15.849444,CHIS,PCONCORDIACFE,"Puente Concordia, Chis. CFE*",7.5
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",286.9
-93.457778,17.445,CHIS,PENITASCFE,"PeÒitas, Chis. CFE*",295.21
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",0
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",1.2
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",6.6
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",0.7
-93.356111,17.883056,CHIS,REFORMA,"Reforma, Chis. SGT*",0
-93.030278,17.413333,CHIS,REFUGIOCP,"El Refugio, Chis. SGT*",582.9
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",0
-93.102778,17.4975,CHIS,RIOJANEIRO,"RÌo de Janeiro SGT, Chis.",346.1
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",191.2
-92.239167,15.776667,CHIS,SANMIGUELCFE,"San Miguel, Chis. CFE*",2.9
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa LucÌa, Chis. SGT*",0.4
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",640.6
-92.603056,16.727222,CHIS,SCCASASCFE,"San CristÛbal de las Casas, Chis. CFE*",5.2
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",4.5
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",3.5
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",0.9
-93.1,16.786111,CHIS,SECTEC103,"Secundaria TÈcnica 103, Chis. SGT*",0.2
-93.133889,16.747222,CHIS,SECTEC59,"Secundaria TÈcnica 59, Chis. SGT*",0
-92.951389,15.872778,CHIS,SFRANCISCOII,"San Francisco 2, Chis. SGT*",3.9
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",45.6
-93.085,17.561111,CHIS,SJOCP,"San JoaquÌn, Chis.",195
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",0.1
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",13.7
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",51.6
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",113.5
-92.148889,14.698611,CHIS,SUCHIATE,"Suchiate, Chis. SGT*",4
-93.034167,16.742778,CHIS,SUMIDEROCFE,"CaÒÛn del Sumidero, Chis. CFE*",0
-93.244722,17.494167,CHIS,SUNUAPA,"Sunuapa, Chis. SGT*",485
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",3.7
-92.426389,17.300278,CHIS,TILA,"Tila, Chis. SGT*",124
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",5.1
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",0
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",0.6
-93.086667,16.755278,CHIS,TXCCP,"Tuxtla GutiÈrrez CFE, Chis.",0.4
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",0.9
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",379.2
-93.121944,16.778056,CHIS,UNICACH,"Universidad de Ciencias y Artes de Chiapas, Chis. SGT*",0.1
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",87.29
-93.248056,16.253889,CHIS,VILLAFLORES,"Villaflores, Chis. SGT*",11.2
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",102.6
-91.729722,16.909167,CHIS,YAQUINTELA,"Yaquintela, Chis. SGT*",71.2
-92.799722,17.270833,CHIS,ZACATONAL,"Zacatonal de Ju·rez, Chis. SGT*",0
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",1.01
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",0
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",0
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",2
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",5.1
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",0
-100.920833,25.436111,COAH,ESLCL,"SecretarÌa de Agricultura Saltillo, Coah.",0
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",0
-100.954444,29.329167,COAH,LASVACASC,"Las Vacas. Ciudad AcuÒa, Coah. CILA*",0.6
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",0.3
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",5.78
-100.556944,28.667778,COAH,RIOESCONDIDOC,"RÌo Escondido Villa De Fuentes, Coah. CILA*",1.75
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",0
-101.016667,25.376389,COAH,SALTILLOob,"Observatorio de Saltillo, Coah. SMN*",0
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego JimÈnez, Coah. CILA*",1
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",3.06
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",0
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",0
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",0
-100.95,27.519444,COAH,VCARRANZA,"Venustiano Carranza, Coah. SMN*",5
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",1.59
-103.613056,19.2475,COL,BVSCM,"Buenavista, Col.",0
-103.725556,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",0
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",0
-103.626111,18.826389,COL,CLLCM,"Callejones, Col.",0
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",0
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",0
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",0
-103.884444,19.111389,COL,DJLCM,"Presa derivadora Jala, Col.",0
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",0
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",0
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",0
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",0
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",0
-104.316667,19.046389,COL,MANZANILLOob,"Observatorio de Manzanillo, Col. SMN*",0
-104.318611,19.044444,COL,MNZCM,"Observatorio de Manzanillo, Col.",0
-103.8125,19.3275,COL,PNTCM,"PeÒitas, Col.",0
-104.100556,18.938611,COL,RDRCM,"Radar, Col.",0
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",0
-103.867778,18.911667,COL,TCMCM,"Tecom·n, Col.",0
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",0
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",12.7
-99.188889,19.214722,DF,AJUSCO,"Ajusco, Cd. de MÈx. UNAM*",13.07
-99.102778,19.423056,DF,BALBUENA,"Balbuena, Cd. de MÈx. UNAM*",15.9
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de MÈx. UNAM*",9.16
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",5.82
-99.059722,19.383889,DF,CCHOTE,"Colegio de Ciencias y Humanidades Oriente, Cd. de MÈx. UNAM*",16.83
-99.140833,19.483333,DF,CCHVALLEJO,"Colegio de Ciencias y Humanidades Vallejo, Cd. de MÈx. UNAM*",4.67
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de MÈx.",13.97
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",11.18
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",15.49
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",8.7
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de MÈx.",13.46
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de MÈx.",5.84
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de MÈx.",7.36
-99.19,19.3375,DF,CONAGUAOFC,"Conagua Oficinas Centrales, Cd. de MÈx SGT*",0
-99.196111,19.406389,DF,CTMDF,"Observatorio de Tacubaya, Cd. de MÈx.",9.8
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de MÈx.",11.69
-99.291667,19.355278,DF,CUAJIMALPA,"Memetla Cuajimalpa, Cd. de MÈx. UNAM*",8.84
-99.097222,19.193611,DF,CUAUHTENCO,"Cuauhtenco, Cd. de MÈx. UNAM*",8.9
-99.140833,19.549444,DF,CUAUTEPEC,"Cuautepec, Cd. de MÈx. UNAM*",8.97
-99.104722,19.282778,DF,CUEMANCO,"Cuemanco, Cd. de MÈx. UNAM*",27.84
-99.105,19.323333,DF,CULHUACAN,"Culhuac·n, Cd. de MÈx. UNAM*",20.58
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de MÈx.",8.89
-99.205,19.3,DF,DATDF,"DesviaciÛn Alta, Cd. de MÈx.",3
-99.310556,19.313056,DF,DDELOSLEONES,"Desierto de los Leones, Cd. de MÈx. SACMEX*",12.45
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de MÈxico, Cd. de MÈx.",23.36
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de MÈx.",12.96
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de MÈx.",34.54
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de MÈx.",12.44
-99.091667,19.478056,DF,GCNDF,"km 6+250, Cd. de MÈx.",11.2
-99.119444,19.496389,DF,INDIOSVER,"Indios Verdes, Cd. de MÈx. UNAM*",4.75
-99.07,19.349722,DF,IZTAPALAPA,"Iztapalapa, Cd. de MÈx. UNAM*",20.89
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro RÌos El Moral, Cd. de MÈx.",0
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de MÈx.",4.32
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de MÈx.",14.98
-99.1175,19.356389,DF,MEXICALTZI,"Mexicaltzingo, Cd. de MÈx. UNAM*",27.5
-99.043889,19.3375,DF,MEYEHUALCO,"Meyehualco, Cd. de MÈx. UNAM*",13.01
-99.0175,19.196667,DF,MILPAALTA,"Milpa Alta, Cd. de MÈx. UNAM*",8.16
-99.026944,19.187222,DF,MLPDF,"Milpa Alta, Cd. de MÈx.",5.58
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo Mezontepec, Cd. de MÈx.",12.45
-99.045,19.3025,DF,NOPALERA,"Nopalera, Cd. de MÈx. UNAM*",23.64
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de MÈcico Sur, Cd. de MÈx.",5.59
-99.2275,19.294167,DF,PADIERNA,"Padierna, Cd. de MÈx. UNAM*",13.48
-99.071667,19.415,DF,PANTITLAN,"Pantitl·n, Cd. de MÈx. UNAM*",16.61
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de MÈx.",5.84
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de MÈx.",18.28
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de MÈx.",0.25
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. EjÈrcito de Oriente, Cd. de MÈx.",0
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de MÈx.",9.39
-99.201944,19.423889,DF,PCHAPULTEPEC,"Planta Chapultepec, Cd. de MÈx. SACMEX*",10.66
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de MÈx.",8.12
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de MÈx.",13.21
-99.205556,19.269444,DF,PICACHO,"Picacho, Cd. de MÈx. UNAM*",15.12
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de MÈx.",5.08
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo LÛpez Mateos, Cd. de MÈx.",18.29
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de MÈx.",24.38
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de MÈx.",13.71
-99.154444,19.513056,DF,PRMDF,"Planta de Tratamiento RÌo de La Magdalena, Cd. de MÈx.",19.05
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento RÌo Remedios, Cd. de MÈx.",7.11
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de MÈx.",18.54
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de MÈx.",10.41
-99.163889,19.468889,DF,PSNDF,"Planta de bombeo Nueva Santa MarÌa, Cd. de MÈx.",14.98
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro M·rtir, Cd. de MÈx.",15.24
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de MÈx.",8.13
-99.126111,19.285833,DF,PVCDF,"Planta de bombeo Villa Coapa, Cd. de MÈx.",18.54
-99.143056,19.331944,DF,PXTDF,"Planta de bombeo Xotepingo, Cd. de MÈx.",13.21
